Date,Open,High,Low,Close,Adj Close,Volume
2021-11-26,108.440002,108.570000,107.570000,108.220001,102.434814,1520600
2021-11-29,109.059998,109.150002,107.959999,108.480003,102.680916,1448200
2021-11-30,107.610001,107.660004,105.820000,105.930000,100.267227,2260100
2021-12-01,107.099998,108.300003,105.339996,105.370003,99.737183,2566700
2021-12-02,105.839996,107.879997,105.519997,107.290001,101.554535,1946600
2021-12-03,107.760002,108.110001,106.540001,107.379997,101.639717,2077200
2021-12-06,108.370003,109.309998,108.220001,108.669998,102.860756,1531600
2021-12-07,109.389999,110.019997,109.290001,109.739998,103.873558,1213600
2021-12-08,109.889999,110.110001,109.070000,109.440002,103.589607,1214800
2021-12-09,109.099998,109.660004,108.820000,109.300003,103.457077,1430300
2021-12-10,109.910004,110.089996,109.330002,110.080002,104.195381,1300700
2021-12-13,109.959999,110.120003,109.279999,109.620003,103.759979,1599300
2021-12-14,109.239998,110.279999,109.089996,109.769997,103.901947,1677200
2021-12-15,109.889999,110.989998,109.489998,110.919998,104.990486,2374800
2021-12-16,111.430000,112.419998,111.309998,111.709999,105.738235,2433000
2021-12-17,111.239998,111.320000,109.860001,109.930000,104.053406,1933200
2021-12-20,108.029999,108.250000,107.089996,108.110001,103.212311,2765900
2021-12-21,108.830002,109.430000,108.550003,109.199997,104.252914,1677400
2021-12-22,109.129997,109.870003,108.760002,109.849998,104.873489,1817500
2021-12-23,110.180000,110.870003,110.180000,110.459999,105.455849,1794600
2021-12-27,110.669998,111.690002,110.480003,111.690002,106.630135,1635100
2021-12-28,111.650002,112.180000,111.629997,111.940002,106.868805,1296500
2021-12-29,111.910004,112.379997,111.870003,112.160004,107.078842,1122400
2021-12-30,112.360001,112.720001,111.879997,111.970001,106.897446,1038900
2021-12-31,111.889999,112.470001,111.849998,112.110001,107.031097,1062800
2022-01-03,112.239998,112.650002,111.849998,112.639999,107.537086,2383800
2022-01-04,113.120003,114.339996,112.910004,114.019997,108.854568,1861300
2022-01-05,114.449997,115.209999,113.529999,113.589996,108.444061,2590000
2022-01-06,114.199997,114.330002,113.440002,114.019997,108.854568,2723200
2022-01-07,114.000000,114.839996,113.860001,114.550003,109.360565,1890000
2022-01-10,114.669998,114.739998,113.519997,114.440002,109.255554,3430600
